ID,Kuvatiedosto,Tuote,Brändi,Kategoria,Alakategoria,Koko,Kokotyyppi,Väri,Kuntoluokka,Kunnon kuvaus,Hinta (EUR),Kirpputori,Kaupunki,Pöytä,Myyjätunnus,Otsikko,Hakusanat
RS-011,Arabia_Paratiisi_lautanen.png,Paratiisi lautanen,Arabia,Astiat,Lautanen,26 cm,Ei kokoa,Sini ja violetti,Hyvä,"Kuvio kirkas, reunassa muutama pieni piste",38,Ogelin Kirppis,Helsinki,8,M-008,Arabia Paratiisi lautanen 26 cm,"arabia, paratiisi, kaipiainen, lautanen, vintage"
RS-012,Arabia_Teema_kahvikuppi.png,Teema muki,Arabia,Astiat,Muki,"0,3 l",Ei kokoa,Luonnonvalkoinen,Hyvä,"Pohjassa lievä käyttöjälki, ei lohkeamia",14,Ogelin Kirppis,Helsinki,8,M-008,"Arabia Teema muki 0,3 l luonnonvalkoinen","arabia, teema, kaj franck, muki, astiat"
RS-013,Acne_Studios_huivi.png,Villahuivi hapsuilla,Acne Studios,Asusteet,Huivi,Onesize,Unisex,Puuteripinkki,Erinomainen,"Ei nyppyyntymistä, hapsut ja brändilappu ehjät",95,Hertsikan kirppis,Helsinki,19,M-019,Acne Studios villahuivi puuteripinkki,"acne studios, huivi, villahuivi, skandi, asuste"
RS-014,Burberry_Nova_check_huivi.png,Nova check villahuivi,Burberry,Asusteet,Huivi,Onesize,Unisex,Beige ruutu,Hyvä,"Hapsuissa kevyttä kulumaa, väri hyvin säilynyt",65,Hertsikan kirppis,Helsinki,19,M-019,Burberry Nova check villahuivi beige,"burberry, nova check, huivi, vintage, asuste"
RS-015,Arket_villakangastakki.png,Villakangastakki,Arket,Päällystakit,Villakangastakki,38,Naisten,Beigenharmaa,Erinomainen,"Ei nyppyyntymistä, napit ja vuori siistit",75,Hertsikan kirppis,Helsinki,19,M-019,Arket villakangastakki 38 beigenharmaa,"arket, villakangastakki, takki, skandi, naisten"
RS-016,Baby_Phat_laukku.png,Y2K lakkanahkalaukku,Baby Phat,Laukut,Käsilaukku,Onesize,Naisten,Valkoinen,Kohtalainen,"Lakkapinta kellastunut, pohjassa tahroja, kissariipus tallella",55,Hertsikan kirppis,Helsinki,55,M-055,Baby Phat lakkanahkalaukku valkoinen,"baby phat, laukku, y2k, lakkanahka, naisten"
RS-017,Buffalo_London_platform.png,Platform-nilkkurit,Buffalo London,Kengät,Platform,38,Naisten,Musta,Kohtalainen,"Pohjissa mustia jälkiä, nahka naarmuinen, nauhat kuluneet",85,Hertsikan kirppis,Helsinki,55,M-055,Buffalo London platform nilkkurit 38 musta,"buffalo london, platform, y2k, nilkkurit, naisten"
RS-018,Adidas_Firebird_verryttelytakki.png,Firebird verryttelytakki,Adidas,Takit,Verryttelytakki,S,Unisex,Musta,Hyvä,"Hihoissa lievää kiiltoa, vetoketju toimii",35,Hertsikan kirppis,Helsinki,55,M-055,Adidas Firebird verryttelytakki S musta,"adidas, firebird, verryttelytakki, y2k, unisex"
RS-019,Abercrombie___Fitch_huppari_S_vaaleanharmaa.png,Logohuppari,Abercrombie & Fitch,Yläosat,Huppari,S,Naisten,Vaaleanharmaa,Hyvä,"Kevyttä nyppyyntymistä, logo ehjä",28,Bella Kirppis Suomenoja,Espoo,3,M-003,Abercrombie & Fitch huppari S vaaleanharmaa,"abercrombie, huppari, hoodie, y2k, naisten"
RS-020,Casall_urheilutoppi_38_tummansininen.png,Urheilutoppi,Casall,Urheiluvaatteet,Urheilutoppi,38,Naisten,Siniharmaa,Hyvä,"Joustot tallella, väri hieman haalistunut",15,Bella Kirppis Suomenoja,Espoo,18,M-018,Casall urheilutoppi 38 siniharmaa,"casall, urheilutoppi, treeni, sportsbra, naisten"
RS-021,Ed_Hardy_paita_M_musta.png,Tatuointiprintti t-paita,Ed Hardy,Yläosat,T-paita,M,Naisten,Musta,Hyvä,"Printti ehjä, kangas hieman haalistunut, strassit tallella",35,Hertsikan kirppis,Helsinki,55,M-055,Ed Hardy t-paita M musta,"ed hardy, t-paita, y2k, printti, naisten"
RS-022,Fendi_Baguette_vintage.png,Baguette olkalaukku,Fendi,Laukut,Käsilaukku,Onesize,Naisten,Ruskea Zucca,Kohtalainen,"Nahkareunoissa kulumaa, kangas siisti, solki naarmuinen",450,Relove Freda,Helsinki,3,M-103,Fendi Baguette laukku ruskea Zucca,"fendi, baguette, laukku, vintage, y2k"
RS-023,Filippa_K_neule_S_beige.png,Kashmirneule,Filippa K,Yläosat,Neule,S,Naisten,Harmaa,Hyvä,"Kevyttä nyppyyntymistä kyljissä, ei reikiä",45,Hertsikan kirppis,Helsinki,19,M-019,Filippa K neule S harmaa,"filippa k, neule, kashmir, skandi, naisten"
RS-024,Fjällräven_Kånken_reppu.png,Kånken reppu,Fjällräven,Laukut,Reppu,Onesize,Unisex,Okra,Kohtalainen,"Pohjassa likajälkiä, kangas haalistunut, vetoketjut toimivat",35,Tapanilan kirppis,Helsinki,33,M-033,Fjällräven Kånken reppu okra,"fjällräven, kånken, reppu, skandi, unisex"
RS-025,Ganni_mekko_36_kukkakuosi.png,Kukkakuosinen mekko,Ganni,Mekot,Pitkähihainen mekko,36,Naisten,Musta kukkakuosi,Hyvä,"Kangas siisti, poimutus ehjä, ei tahroja",55,Hertsikan kirppis,Helsinki,19,M-019,Ganni mekko 36 musta kukkakuosi,"ganni, mekko, kukkakuosi, skandi, naisten"
RS-026,Coach_iso_ruskea_nahkalaukku.png,Nahkainen olkalaukku,Coach,Laukut,Olkalaukku,Onesize,Naisten,Konjakinruskea,Kohtalainen,"Nahka patinoitunut, pohjakulmissa hankaumaa, hihna ehjä",85,Relove Freda,Helsinki,3,M-103,Coach nahkalaukku konjakinruskea,"coach, laukku, nahka, vintage, naisten"
RS-027,Coach_pieni_söpö_laukku.png,Signature-olkalaukku,Coach,Laukut,Olkalaukku,Onesize,Naisten,Beige,Hyvä,"Nahkakulmissa kevyttä tummumaa, kangas siisti",65,Relove Freda,Helsinki,3,M-103,Coach Signature olkalaukku beige,"coach, signature, laukku, y2k, naisten"
RS-028,Converse_Chuck_Taylor_All_Star_korkeavartiset_39.png,Chuck Taylor korkeavartiset,Converse,Kengät,Lenkkarit,39,Unisex,Musta,Kohtalainen,"Kangas haalistunut, kärkikumi likainen, nauhat kuluneet",25,Tapanilan kirppis,Helsinki,41,M-041,Converse Chuck Taylor korkeavartiset 39 musta,"converse, chuck taylor, lenkkarit, klassikko, unisex"
RS-029,COS_takki.png,Villakangastakki,COS,Päällystakit,Villakangastakki,38,Naisten,Beige,Erinomainen,"Ei nyppyyntymistä, kangas ryhdikäs, vuori siisti",70,Hertsikan kirppis,Helsinki,19,M-019,COS villakangastakki 38 beige,"cos, villakangastakki, takki, minimalismi, naisten"
RS-030,Craft_merinokerrasto_M_musta.png,"Merinokerrasto, setti",Craft,Urheiluvaatteet,Kerrasto,M,Unisex,Musta,Hyvä,"Kevyttä nyppyyntymistä kyljissä, joustot tallella",40,Bella Kirppis Suomenoja,Espoo,18,M-018,Craft merinokerrasto M musta,"craft, kerrasto, merino, ulkoilu, unisex"
RS-031,Crocs_Classic_Clog_puukengät_42_vaaleanvihreät.png,Classic Clog,Crocs,Kengät,Puukengät,42,Unisex,Salvianvihreä,Hyvä,"Pohjissa kevyttä kulumaa, muoto tallella",20,Tapanilan kirppis,Helsinki,41,M-041,Crocs Classic Clog 42 salvianvihreä,"crocs, classic clog, puukengät, kesä, unisex"
RS-032,Didriksons_kurahaalari_100_cm_sininen.png,Kurahaalari,Didriksons,Lastenvaatteet,Kurahaalari,100 cm,Lasten,Sinapinkeltainen,Hyvä,"Polvissa lievää naarmuuntumaa, pinnoite ehjä",25,Skidilandia,Helsinki,7,M-007,Didriksons kurahaalari 100 cm sinapinkeltainen,"didriksons, kurahaalari, lastenvaate, ulkoilu, lapset"
RS-033,Diesel_flared_jeans.png,Levenevät farkut,Diesel,Housut,Farkut,W30,Naisten,Tumma sininen,Kohtalainen,"Lahkeensuut rispaantuneet, pesuhaalistumaa reisissä",45,Hertsikan kirppis,Helsinki,55,M-055,Diesel flared farkut W30 tumma sininen,"diesel, farkut, flared, y2k, naisten"
RS-034,Diesel_korkokengät.png,Nahkaiset korkonilkkurit,Diesel,Kengät,Korkokengät,38,Naisten,Ruskea,Kohtalainen,"Nahka naarmuinen kärjistä, korot ja pohjat kuluneet",45,Hertsikan kirppis,Helsinki,55,M-055,Diesel korkonilkkurit 38 ruskea,"diesel, korkokengät, nilkkurit, y2k, naisten"
RS-035,Dior_aurinkolasit.png,Shield-aurinkolasit,Dior,Asusteet,Aurinkolasit,Onesize,Naisten,Hopea,Kohtalainen,"Metallisangoissa naarmuja, linssit ehjät",120,Relove Freda,Helsinki,3,M-103,Dior shield-aurinkolasit hopea,"dior, aurinkolasit, y2k, shield, naisten"
RS-036,Dior_aurinkolasit_vintage.png,Aurinkolasit strasseilla,Dior,Asusteet,Aurinkolasit,Onesize,Naisten,Hopea,Hyvä,"Strassit tallella, linsseissä kevyttä pintanaarmua",150,Relove Freda,Helsinki,3,M-103,Dior aurinkolasit strasseilla hopea,"dior, aurinkolasit, strassi, y2k, naisten"
RS-037,Dior_Saddle_bag_vintage.png,Saddle Bag,Dior,Laukut,Käsilaukku,Onesize,Naisten,Denim Oblique,Hyvä,"Kangas siisti, metalliosissa kevyttä patinaa, hihna ehjä",950,Relove Freda,Helsinki,3,M-103,Dior Saddle Bag denim Oblique,"dior, saddle bag, laukku, y2k, naisten"
RS-038,Dior_toppi.png,Silkkitoppi pitsireunuksella,Christian Dior,Yläosat,Toppi,38,Naisten,Luonnonvalkoinen,Erinomainen,"Ei tahroja, pitsi ja olkaimet ehjät",180,Relove Freda,Helsinki,3,M-103,Christian Dior silkkitoppi 38 luonnonvalkoinen,"dior, toppi, silkki, y2k, naisten"
RS-039,Dr__Martens_1460_maiharit_39_kirsikanpunainen.png,1460 maiharit,Dr. Martens,Kengät,Maiharit,39,Unisex,Musta,Kohtalainen,"Nahassa taitteita ja hankaumaa kärjissä, pohjat kuluneet",55,Tapanilan kirppis,Helsinki,41,M-041,Dr. Martens 1460 maiharit 39 musta,"dr martens, 1460, maiharit, nahka, unisex"
RS-040,Eastpak_Padded_Pak_r.png,Padded Pak'r reppu,Eastpak,Laukut,Reppu,Onesize,Unisex,Musta,Kohtalainen,"Pohjassa kulumaa, kangas haalistunut, vetoketjut toimivat",18,Tapanilan kirppis,Helsinki,33,M-033,Eastpak Padded Pak'r reppu musta,"eastpak, reppu, koulureppu, klassikko, unisex"
RS-041,Iittala_Teema_lautanen.png,"Teema lautanen, 4 kpl",Iittala,Astiat,Lautanen,21 cm,Ei kokoa,Valkoinen,Hyvä,"Kevyttä käyttöjälkeä pinnassa, ei lohkeamia",40,Ogelin Kirppis,Helsinki,8,M-008,Iittala Teema lautanen 21 cm valkoinen 4 kpl,"iittala, teema, lautanen, kaj franck, astiat"
RS-042,Iittala_Ultima_Thule_lasi.png,Ultima Thule juomalasi,Iittala,Astiat,Lasi,"0,3 l",Ei kokoa,Kirkas,Hyvä,"Reunassa ei lohkeamia, pinta kirkas",18,Ogelin Kirppis,Helsinki,8,M-008,"Iittala Ultima Thule juomalasi 0,3 l","iittala, ultima thule, lasi, wirkkala, astiat"
RS-043,Jack___Jones_farkut_W32_L32_tummansininen.png,Suorat farkut,Jack & Jones,Housut,Farkut,W32 L32,Miesten,Vaalea sininen,Kohtalainen,"Lahkeet leikatut ja rispaantuneet, pesuhaalistumaa",20,Tapanilan kirppis,Helsinki,27,M-027,Jack & Jones farkut W32 L32 vaalea sininen,"jack jones, farkut, straight, miesten, denim"
RS-044,Juicy_Couture_olkalaukku.png,Veluurinen olkalaukku,Juicy Couture,Laukut,Olkalaukku,Onesize,Naisten,Vaaleanpunainen,Kohtalainen,"Veluuri litistynyt, nahkareunat kellastuneet, sydänriipus tallella",65,Hertsikan kirppis,Helsinki,55,M-055,Juicy Couture veluurilaukku vaaleanpunainen,"juicy couture, laukku, veluuri, y2k, naisten"
RS-045,Kari_Traa_villasetti_S_vaaleanpunainen.png,"Villakerrasto, setti",Kari Traa,Urheiluvaatteet,Kerrasto,S,Naisten,Vaaleanpunainen kuosi,Hyvä,"Nyppyyntymistä reisissä ja hihoissa, ei reikiä",45,Bella Kirppis Suomenoja,Espoo,18,M-018,Kari Traa villasetti S vaaleanpunainen,"kari traa, kerrasto, villa, hiihto, naisten"
RS-046,Levi_s_501_vintage_farkut_W30_L32_vaaleat.png,501 vintage farkut,Levi's,Housut,Farkut,W30 L32,Unisex,Vaalea sininen,Kulunut,"Lahkeensuut repaleiset, tahroja lahkeissa, kangas ohentunut",55,Tapanilan kirppis,Helsinki,27,M-027,Levi's 501 vintage farkut W30 L32 vaaleat,"levis, 501, farkut, vintage, denim"
RS-047,Levi_s_Sherpa_trucker_takki.png,Sherpa trucker takki,Levi's,Takit,Farkkutakki,M,Unisex,Sininen,Hyvä,"Denim haalistunut hihoista, sherpa-vuori puhdas",60,Tapanilan kirppis,Helsinki,27,M-027,Levi's Sherpa trucker takki M sininen,"levis, sherpa, farkkutakki, trucker, unisex"
RS-048,Gucci_laukku_vintage.png,GG Supreme olkalaukku,Gucci,Laukut,Olkalaukku,Onesize,Naisten,Beige ja ruskea,Kohtalainen,"Nahkareunoissa kulumaa ja tummumaa, kangas ehjä",550,Relove Freda,Helsinki,3,M-103,Gucci GG Supreme olkalaukku vintage,"gucci, laukku, gg supreme, vintage, naisten"
RS-049,Guess_laukku.png,Logokuosinen olkalaukku,Guess,Laukut,Olkalaukku,Onesize,Naisten,Beige,Kohtalainen,Pinnassa likaantumaa ja kulumaa reunoissa,35,Hertsikan kirppis,Helsinki,55,M-055,Guess olkalaukku beige logokuosi,"guess, laukku, y2k, logokuosi, naisten"
RS-050,Guess_Y2K_mini_laukku.png,Mini baguette -laukku,Guess,Laukut,Käsilaukku,Onesize,Naisten,Vaaleanpunainen,Hyvä,"Pinta siisti, vetoketju ja riipus toimivat",40,Hertsikan kirppis,Helsinki,55,M-055,Guess mini baguette laukku vaaleanpunainen,"guess, mini laukku, baguette, y2k, naisten"
RS-051,Gymshark_leggingsit_M_musta.png,Treenileggingsit,Gymshark,Urheiluvaatteet,Leggingsit,M,Naisten,Musta,Hyvä,"Joustot tallella, kangas hieman nukkaantunut",20,Bella Kirppis Suomenoja,Espoo,18,M-018,Gymshark leggingsit M musta,"gymshark, leggingsit, treeni, sali, naisten"
RS-052,Halti_kuoritakki.png,Kuoritakki,Halti,Ulkoiluvaatteet,Kuoritakki,M,Miesten,Tummanvihreä,Hyvä,"Kangas siisti, vetoketjut toimivat, hihansuissa kevyttä kulumaa",45,Tapanilan kirppis,Helsinki,12,M-012,Halti kuoritakki M tummanvihreä,"halti, kuoritakki, ulkoilu, kotimainen, miesten"
RS-053,Helly_Hansen_kuoritakki.png,Kuoritakki,Helly Hansen,Ulkoiluvaatteet,Kuoritakki,M,Miesten,Punainen,Hyvä,"Väri kirkas, vetoketjut ja tarrat toimivat",60,Tapanilan kirppis,Helsinki,12,M-012,Helly Hansen kuoritakki M punainen,"helly hansen, kuoritakki, ulkoilu, purjehdus, miesten"
RS-054,Herschel_Little_America.png,Little America reppu,Herschel,Laukut,Reppu,Onesize,Unisex,Tummansininen,Kohtalainen,"Kangas haalistunut yläosasta, nahkahihnat ehjät",35,Tapanilan kirppis,Helsinki,33,M-033,Herschel Little America reppu tummansininen,"herschel, little america, reppu, rolltop, unisex"
RS-055,Hollister_huppari_M_harmaa.png,Logohuppari,Hollister,Yläosat,Huppari,M,Naisten,Tummansininen,Kohtalainen,"Kangas nukkaantunut ja haalistunut, nyörit likaiset",20,Bella Kirppis Suomenoja,Espoo,3,M-003,Hollister huppari M tummansininen,"hollister, huppari, hoodie, y2k, naisten"
RS-056,Icebreaker_merinopaita_M_harmaa.png,Merinovillapaita,Icebreaker,Urheiluvaatteet,Pitkähihainen,M,Unisex,Harmaa,Hyvä,"Kevyttä nyppyyntymistä, ei reikiä, painatus ehjä",35,Bella Kirppis Suomenoja,Espoo,18,M-018,Icebreaker merinopaita M harmaa,"icebreaker, merino, kerrasto, ulkoilu, unisex"
RS-057,Iittala_Aalto_maljakko.png,Aalto maljakko,Iittala,Sisustus,Maljakko,16 cm,Ei kokoa,Kirkas,Hyvä,"Pohjassa naarmuja, reuna ehjä",85,Ogelin Kirppis,Helsinki,8,M-008,Iittala Aalto maljakko 16 cm kirkas,"iittala, aalto, maljakko, design, sisustus"
RS-058,Iittala_Birds_by_Toikka_lintu.png,Birds by Toikka lasilintu,Iittala,Sisustus,Koriste,1 kpl,Ei kokoa,Harmaa,Erinomainen,"Pinta ehjä ja kirkas, ei lohkeamia",120,Ogelin Kirppis,Helsinki,8,M-008,Iittala Birds by Toikka lasilintu harmaa,"iittala, toikka, lasilintu, keräily, sisustus"
RS-059,Iittala_Kastehelmi_tuikku.png,Kastehelmi tuikku,Iittala,Sisustus,Kynttilänjalka,"6,4 cm",Ei kokoa,Kirkas,Hyvä,"Sisäpinnassa kynttiläjälkiä, reuna ehjä",12,Ogelin Kirppis,Helsinki,8,M-008,Iittala Kastehelmi tuikku kirkas,"iittala, kastehelmi, tuikku, toikka, sisustus"
RS-060,Iittala_Taika_muki.png,Taika muki,Iittala,Astiat,Muki,"0,3 l",Ei kokoa,Sinivalkoinen,Erinomainen,"Kuvio kirkas, ei kulumia korvassa",28,Ogelin Kirppis,Helsinki,8,M-008,"Iittala Taika muki 0,3 l sinivalkoinen","iittala, taika, muki, haapaniemi, astiat"
RS-061,Monki_mekko_S_pinkki.png,Neliöpääntiemekko,Monki,Mekot,Lyhythihainen mekko,S,Naisten,Laventeli,Hyvä,"Kangas hieman nukkaantunut, ei tahroja",18,Bella Kirppis Suomenoja,Espoo,3,M-003,Monki minimekko S laventeli,"monki, mekko, minimekko, arki, naisten"
RS-062,Muki_Arabia.png,Raitamuki,Arabia,Astiat,Muki,"0,3 l",Ei kokoa,Valkoinen ja harmaa,Hyvä,"Pohjassa käyttöjälki, kuvio ehjä",12,Ogelin Kirppis,Helsinki,8,M-008,"Arabia muki 0,3 l harmaaraita","arabia, muki, raita, vintage, astiat"
RS-063,NA-KD_mekko_M_vihreä.png,Satiininen olkaimeton mekko,NA-KD,Mekot,Juhlamekko,M,Naisten,Smaragdinvihreä,Erinomainen,"Satiini ehjä, vetoketju toimii, ei tahroja",35,Bella Kirppis Suomenoja,Espoo,3,M-003,NA-KD satiinimekko M smaragdinvihreä,"na-kd, mekko, satiini, juhla, naisten"
RS-064,Lindex_vauvanvaate_setti.png,"Vauvansetti, 3 osaa",Lindex,Lastenvaatteet,Setti,62 cm,Lasten,Keltainen ja luonnonvalkoinen,Hyvä,"Kevyttä nukkaantumista, ei tahroja",15,Skidilandia,Helsinki,7,M-007,Lindex vauvansetti 62 cm keltainen,"lindex, vauvanvaate, setti, body, lapset"
RS-065,Longchamp_Le_Pliage.png,Le Pliage kassi,Longchamp,Laukut,Kassi,Onesize,Naisten,Tummansininen,Kohtalainen,"Pohjassa kulumaa ja tahroja, nahkaosat ehjät",45,Bella Kirppis Suomenoja,Espoo,3,M-003,Longchamp Le Pliage kassi tummansininen,"longchamp, le pliage, kassi, nylon, naisten"
RS-066,Louis_Vuitton_Neverfull_MM.png,Neverfull MM,Louis Vuitton,Laukut,Kassi,Onesize,Naisten,Monogrammi,Kohtalainen,"Nahkahihnat patinoituneet, pohjakulmissa kulumaa",850,Relove Freda,Helsinki,3,M-103,Louis Vuitton Neverfull MM monogrammi,"louis vuitton, neverfull, laukku, monogrammi, naisten"
RS-067,Luhta_toppatakki_40_sininen.png,Toppatakki,Luhta,Takit,Toppatakki,40,Naisten,Tummansininen,Hyvä,"Kangas nukkaantunut hihoista, täyte tasainen",40,Bella Kirppis Suomenoja,Espoo,3,M-003,Luhta toppatakki 40 tummansininen,"luhta, toppatakki, talvi, kotimainen, naisten"
RS-068,Mango_bleiseri_38_beige.png,Bleiseri,Mango,Jakut,Bleiseri,38,Naisten,Beige,Erinomainen,"Kangas ryhdikäs, napit ja vuori ehjät",35,Hertsikan kirppis,Helsinki,19,M-019,Mango bleiseri 38 beige,"mango, bleiseri, jakku, toimisto, naisten"
RS-069,Marc_O_Polo_takki.png,Villakangastakki,Marc O'Polo,Päällystakit,Villakangastakki,38,Naisten,Kamelinruskea,Hyvä,"Pinnassa kevyttä nyppyyntymistä, napit ehjät",55,Hertsikan kirppis,Helsinki,19,M-019,Marc O'Polo villakangastakki 38 kamelinruskea,"marc o polo, villakangastakki, takki, syksy, naisten"
RS-070,Marimekko_Tasaraita_paita_M_punavalkoinen.png,Tasaraita paita,Marimekko,Yläosat,Pitkähihainen,M,Unisex,Punavalkoinen,Erinomainen,"Väri kirkas, ei nyppyyntymistä",40,Ogelin Kirppis,Helsinki,8,M-008,Marimekko Tasaraita paita M punavalkoinen,"marimekko, tasaraita, paita, klassikko, unisex"
RS-071,Marimekko_Unikko_tyynyliina.png,Unikko pöytäliina,Marimekko,Kodintekstiilit,Pöytäliina,140x180 cm,Ei kokoa,Vaaleanpunainen,Erinomainen,"Kangas ehjä, väri kirkas, ei tahroja",45,Ogelin Kirppis,Helsinki,8,M-008,Marimekko Unikko pöytäliina vaaleanpunainen,"marimekko, unikko, pöytäliina, kuosi, sisustus"
RS-072,Michael_Kors_laukku.png,Saffiano-nahkalaukku,Michael Kors,Laukut,Käsilaukku,Onesize,Naisten,Kamelinruskea,Hyvä,"Nahka siisti, pohjakulmissa kevyttä kulumaa",55,Bella Kirppis Suomenoja,Espoo,3,M-003,Michael Kors laukku kamelinruskea,"michael kors, laukku, saffiano, nahka, naisten"
RS-073,Mini_Rodini_paita.png,Eläinprinttinen t-paita,Mini Rodini,Lastenvaatteet,T-paita,104 cm,Lasten,Luonnonvalkoinen,Erinomainen,"Printti ehjä, ei tahroja",25,Skidilandia,Helsinki,7,M-007,Mini Rodini t-paita 104 cm eläinprintti,"mini rodini, t-paita, lastenvaate, printti, lapset"
RS-074,Miss_Sixty_flared_jeans.png,Levenevät farkut,Miss Sixty,Housut,Farkut,W29,Naisten,Sininen,Hyvä,"Pesuhaalistumaa reisissä, lahkeensuut siistit",45,Hertsikan kirppis,Helsinki,55,M-055,Miss Sixty flared farkut W29 sininen,"miss sixty, farkut, flared, y2k, naisten"
RS-075,Miss_Sixty_minihame.png,Farkkuminihame,Miss Sixty,Hameet,Minihame,W29,Naisten,Vaalea sininen,Hyvä,"Kangas siisti, vetoketju toimii",35,Hertsikan kirppis,Helsinki,55,M-055,Miss Sixty farkkuminihame W29 vaalea sininen,"miss sixty, minihame, farkku, y2k, naisten"
RS-076,Miss_Sixty_toppi.png,Olkaintoppi,Miss Sixty,Yläosat,Toppi,S,Naisten,Vaaleansininen,Erinomainen,"Kangas ehjä, brodeeraus tallella",25,Hertsikan kirppis,Helsinki,55,M-055,Miss Sixty toppi S vaaleansininen,"miss sixty, toppi, y2k, kesä, naisten"
RS-077,Miu_Miu_korkokengät.png,Nilkkaremmiavokkaat,Miu Miu,Kengät,Korkokengät,38,Naisten,Musta,Hyvä,"Nahka siisti, pohjissa kevyttä kulumaa",180,Relove Freda,Helsinki,3,M-103,Miu Miu nilkkaremmiavokkaat 38 musta,"miu miu, korkokengät, avokkaat, nahka, naisten"
RS-078,Miu_Miu_kitten_heels.png,Kitten heels satiiniavokkaat,Miu Miu,Kengät,Korkokengät,38,Naisten,Vaaleanpunainen,Kohtalainen,"Satiinissa tahroja ja hankaumia kärjissä, strassisolki ehjä",140,Relove Freda,Helsinki,3,M-103,Miu Miu kitten heels 38 vaaleanpunainen,"miu miu, kitten heels, satiini, y2k, naisten"
